epoch	loss	psnr	ssim	time_s	lr
0	0.007875	27.682896	0.809156	80.87	0.00020000
1	0.002060	29.049504	0.832413	53.04	0.00020000
2	0.001736	29.857521	0.851804	51.96	0.00020000
3	0.001490	30.064622	0.857623	50.88	0.00020000
4	0.001388	30.973090	0.863279	57.56	0.00019999
5	0.001230	30.436539	0.865702	50.36	0.00019999
6	0.001247	31.191857	0.871428	60.31	0.00019998
7	0.001219	31.250678	0.873002	51.84	0.00019998
8	0.001109	30.608804	0.872806	56.24	0.00019997
9	0.001116	30.520404	0.877624	53.71	0.00019996
10	0.001131	31.358156	0.875156	52.26	0.00019995
11	0.001014	31.821239	0.882379	55.06	0.00019994
12	0.000979	31.513895	0.883821	53.99	0.00019993
13	0.000973	31.924933	0.884280	52.26	0.00019992
14	0.000992	31.891917	0.885848	49.60	0.00019990
15	0.000941	32.060849	0.887484	51.22	0.00019989
16	0.001019	32.238470	0.887810	57.95	0.00019987
17	0.000950	32.232670	0.887417	55.96	0.00019986
18	0.000883	31.848329	0.889505	55.13	0.00019984
19	0.000867	31.911020	0.892732	52.46	0.00019982
20	0.000863	31.986936	0.891581	52.22	0.00019980
21	0.000967	32.180696	0.891084	51.23	0.00019978
22	0.000819	32.319763	0.892944	53.21	0.00019976
23	0.000825	32.508019	0.895199	54.86	0.00019974
24	0.000849	31.647490	0.891743	50.03	0.00019972
25	0.000822	31.927935	0.898099	55.95	0.00019969
26	0.000839	32.438591	0.896702	51.65	0.00019967
27	0.000790	32.601657	0.897582	57.61	0.00019964
28	0.000826	32.575701	0.892998	51.62	0.00019961
29	0.000783	32.907225	0.898883	51.87	0.00019959
30	0.000757	32.387345	0.899189	50.16	0.00019956
31	0.000767	32.798151	0.898442	52.26	0.00019953
32	0.000780	32.404761	0.896124	51.51	0.00019950
33	0.000780	32.888416	0.899711	52.69	0.00019946
34	0.000723	33.085948	0.899286	56.25	0.00019943
35	0.000734	33.020195	0.904168	58.47	0.00019940
36	0.000700	33.208131	0.903687	49.96	0.00019936
37	0.000752	32.001337	0.906911	57.21	0.00019933
38	0.000704	33.222236	0.904242	52.56	0.00019929
39	0.000714	33.035605	0.907029	51.07	0.00019925
40	0.000726	31.682162	0.901484	52.40	0.00019921
41	0.000686	33.289773	0.904578	55.59	0.00019917
42	0.000642	33.702757	0.911070	56.04	0.00019913
43	0.000645	33.143079	0.906015	52.40	0.00019909
44	0.000703	33.076670	0.908740	52.28	0.00019905
45	0.000644	33.437367	0.909575	55.91	0.00019901
46	0.000653	32.741349	0.907230	52.70	0.00019896
47	0.000619	33.749494	0.908471	51.90	0.00019892
48	0.000596	33.396264	0.910207	55.84	0.00019887
49	0.000608	33.471990	0.909133	55.76	0.00019882
50	0.000647	32.980175	0.911758	52.27	0.00019877
51	0.000637	33.734652	0.911304	51.62	0.00019872
52	0.000578	33.668845	0.912568	54.14	0.00019867
53	0.000581	33.556661	0.913273	53.22	0.00019862
54	0.000611	33.472017	0.912637	52.48	0.00019857
55	0.000562	33.126698	0.918949	54.89	0.00019852
56	0.000608	34.228961	0.918379	52.63	0.00019846
57	0.000537	33.646458	0.913843	53.04	0.00019841
58	0.000587	34.119388	0.919873	54.34	0.00019835
59	0.000558	34.034722	0.917370	55.53	0.00019829
60	0.000584	34.011789	0.914457	52.23	0.00019823
61	0.000541	33.925241	0.916010	51.49	0.00019817
62	0.000539	34.094227	0.921188	48.37	0.00019811
63	0.000515	33.564336	0.917175	54.05	0.00019805
64	0.000550	33.946675	0.920925	48.97	0.00019799
65	0.000556	34.428188	0.918420	55.02	0.00019793
66	0.000570	34.442279	0.919526	50.75	0.00019786
