epoch	loss	psnr	ssim	time_s	lr
0	0.008507	26.911910	0.799453	104.49	0.00020000
1	0.002443	29.163092	0.839515	85.92	0.00019995
2	0.001641	29.453725	0.852008	70.60	0.00019980
3	0.001551	30.562346	0.857660	79.04	0.00019955
4	0.001339	30.484754	0.864808	81.72	0.00019920
5	0.001299	31.010472	0.866910	88.78	0.00019875
6	0.001152	31.369366	0.870370	88.01	0.00019820
7	0.001166	30.728358	0.870688	80.37	0.00019756
8	0.001117	31.819626	0.872644	80.59	0.00019681
9	0.001040	31.619688	0.876875	80.63	0.00019597
10	0.001053	31.538137	0.878643	82.43	0.00019503
11	0.000963	31.419737	0.882306	81.34	0.00019400
12	0.000995	30.687556	0.880784	79.33	0.00019287
13	0.000974	32.019762	0.879590	87.43	0.00019165
14	0.000942	32.492278	0.886084	81.29	0.00019034
15	0.000928	32.173039	0.884115	77.87	0.00018894
16	0.000886	32.029403	0.882114	76.00	0.00018745
17	0.000907	31.988312	0.887923	88.73	0.00018587
18	0.000843	32.232680	0.885941	81.96	0.00018420
19	0.000843	32.473577	0.888666	87.19	0.00018246
20	0.000827	32.288300	0.890924	86.73	0.00018062
21	0.000807	32.501452	0.891392	81.47	0.00017871
22	0.000812	31.689295	0.893826	82.02	0.00017672
23	0.000791	32.392012	0.894913	73.41	0.00017465
24	0.000793	31.694600	0.897872	82.19	0.00017251
25	0.000798	32.811752	0.896251	82.03	0.00017030
26	0.000861	32.550761	0.893912	82.15	0.00016801
27	0.000743	33.113044	0.898149	84.69	0.00016566
28	0.000743	32.652163	0.894637	83.93	0.00016324
29	0.000725	32.825424	0.900047	93.13	0.00016076
30	0.000723	32.907827	0.899298	80.52	0.00015822
31	0.000733	33.334467	0.901434	82.79	0.00015562
32	0.000700	33.150204	0.900166	84.26	0.00015296
33	0.000745	32.753393	0.901368	82.60	0.00015025
34	0.000691	33.334504	0.904261	78.68	0.00014749
35	0.000714	32.988084	0.901768	82.40	0.00014468
36	0.000768	33.530256	0.905490	88.92	0.00014183
37	0.000678	33.564635	0.905706	88.95	0.00013894
38	0.000692	33.600075	0.904864	73.62	0.00013601
39	0.000662	33.440484	0.905820	82.30	0.00013304
40	0.000654	32.473122	0.908078	86.86	0.00013004
41	0.000685	33.562986	0.909308	83.81	0.00012701
42	0.000633	33.669760	0.906833	80.00	0.00012396
43	0.000629	33.776413	0.906439	83.83	0.00012088
44	0.000635	33.252197	0.907683	84.17	0.00011778
45	0.000609	33.577399	0.906882	82.56	0.00011466
46	0.000610	33.823012	0.906735	86.07	0.00011153
47	0.000603	33.679016	0.905914	81.46	0.00010839
48	0.000600	33.999285	0.909993	84.09	0.00010523
49	0.000588	33.950177	0.911740	84.70	0.00010208
50	0.000573	33.890498	0.910023	88.92	0.00009892
51	0.000592	33.205384	0.912105	86.16	0.00009577
52	0.000603	33.980910	0.912245	82.48	0.00009261
53	0.000562	33.942525	0.909247	85.48	0.00008947
54	0.000537	33.839809	0.909888	85.69	0.00008634
55	0.000570	34.119658	0.912724	74.15	0.00008322
56	0.000559	34.109559	0.913396	81.01	0.00008012
57	0.000532	34.218322	0.913879	81.83	0.00007704
58	0.000550	34.075505	0.915082	86.22	0.00007399
59	0.000537	34.337148	0.913080	77.49	0.00007096
60	0.000541	34.169736	0.914652	71.24	0.00006796
61	0.000526	34.467894	0.917542	84.86	0.00006499
62	0.000546	34.410351	0.916392	77.51	0.00006206
63	0.000533	34.394366	0.912832	89.06	0.00005917
64	0.000524	34.509076	0.914931	80.14	0.00005632
65	0.000529	34.437403	0.917174	86.24	0.00005351
66	0.000522	34.611111	0.917729	81.69	0.00005075
67	0.000524	34.535068	0.916099	75.87	0.00004804
68	0.000501	34.563829	0.916252	85.19	0.00004538
69	0.000500	34.585599	0.918686	83.10	0.00004278
70	0.000501	34.649439	0.919137	83.26	0.00004024
71	0.000510	34.577485	0.917538	73.58	0.00003776
72	0.000470	34.680424	0.918281	83.05	0.00003534
73	0.000487	34.605995	0.919035	84.57	0.00003299
74	0.000494	34.752864	0.920383	80.69	0.00003070
75	0.000488	34.817251	0.920367	79.70	0.00002849
76	0.000506	34.752224	0.918938	83.44	0.00002635
77	0.000494	34.768096	0.919801	85.01	0.00002428
78	0.000489	34.834924	0.921335	78.00	0.00002229
79	0.000469	34.779271	0.919641	83.35	0.00002038
80	0.000489	34.868345	0.922107	86.16	0.00001854
81	0.000507	34.891307	0.921853	81.33	0.00001680
82	0.000484	34.929645	0.921960	80.44	0.00001513
83	0.000487	34.846733	0.921180	80.32	0.00001355
84	0.000486	34.848082	0.920221	88.66	0.00001206
85	0.000472	34.895737	0.920728	86.96	0.00001066
86	0.000491	34.908669	0.921024	81.52	0.00000935
87	0.000486	34.924160	0.921256	77.50	0.00000813
88	0.000481	34.955152	0.921452	80.13	0.00000700
89	0.000490	34.928698	0.921489	83.26	0.00000597
90	0.000490	34.951747	0.921624	84.52	0.00000503
91	0.000473	34.929144	0.921393	78.74	0.00000419
92	0.000462	34.937195	0.921208	83.54	0.00000344
93	0.000485	34.895219	0.920934	77.49	0.00000280
94	0.000486	34.917500	0.921045	88.01	0.00000225
95	0.000476	34.922120	0.920941	85.80	0.00000180
96	0.000483	34.914406	0.920861	78.70	0.00000145
97	0.000474	34.925825	0.920882	85.46	0.00000120
98	0.000461	34.927930	0.920913	80.21	0.00000105
99	0.000470	34.922077	0.920846	83.36	0.00000100
