epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
0	0.030336	20.571257	0.687133	8.10	0.00020000	random	96x192,192x384,384x768
1	0.012943	21.805335	0.712736	5.85	0.00020000	random	96x192,192x384,384x768
2	0.010056	23.087236	0.731892	5.36	0.00019999	random	96x192,192x384,384x768
3	0.009336	22.847044	0.735141	6.09	0.00019998	random	96x192,192x384,384x768
4	0.009045	18.732651	0.694647	5.22	0.00019997	random	96x192,192x384,384x768
5	0.009265	24.861334	0.743636	6.20	0.00019995	random	96x192,192x384,384x768
6	0.007697	23.563122	0.746852	5.00	0.00019993	random	96x192,192x384,384x768
7	0.007142	25.195757	0.755988	6.01	0.00019990	random	96x192,192x384,384x768
8	0.006835	25.196389	0.759291	5.63	0.00019987	random	96x192,192x384,384x768
9	0.007489	24.199096	0.750043	6.15	0.00019984	random	96x192,192x384,384x768
10	0.006680	26.578950	0.786821	6.13	0.00019980	random	96x192,192x384,384x768
11	0.006239	25.445564	0.784306	5.59	0.00019976	random	96x192,192x384,384x768
12	0.006129	22.056712	0.777263	5.00	0.00019972	random	96x192,192x384,384x768
13	0.007002	26.278758	0.794619	5.76	0.00019967	random	96x192,192x384,384x768
14	0.005436	26.043115	0.797159	5.70	0.00019961	random	96x192,192x384,384x768
15	0.005622	27.304990	0.810613	6.14	0.00019956	random	96x192,192x384,384x768
16	0.006106	26.141106	0.808238	5.66	0.00019950	random	96x192,192x384,384x768
17	0.005531	24.314831	0.798470	5.74	0.00019943	random	96x192,192x384,384x768
18	0.005062	26.325447	0.811166	5.96	0.00019936	random	96x192,192x384,384x768
19	0.004289	28.010485	0.820027	5.30	0.00019929	random	96x192,192x384,384x768
20	0.005075	27.319903	0.817632	5.64	0.00019921	random	96x192,192x384,384x768
21	0.005250	27.661913	0.819417	5.17	0.00019913	random	96x192,192x384,384x768
22	0.004461	25.641644	0.822153	5.42	0.00019905	random	96x192,192x384,384x768
23	0.004261	27.617068	0.820424	5.06	0.00019896	random	96x192,192x384,384x768
24	0.004841	25.161102	0.809493	4.75	0.00019887	random	96x192,192x384,384x768
25	0.004117	27.060134	0.825618	5.04	0.00019877	random	96x192,192x384,384x768
26	0.004330	28.900967	0.827825	6.23	0.00019867	random	96x192,192x384,384x768
27	0.004561	23.761752	0.806971	5.48	0.00019857	random	96x192,192x384,384x768
28	0.004186	28.366531	0.831727	5.78	0.00019846	random	96x192,192x384,384x768
29	0.003877	28.242216	0.829275	5.30	0.00019835	random	96x192,192x384,384x768
30	0.004296	24.879079	0.817776	6.15	0.00019823	random	96x192,192x384,384x768
31	0.004589	27.832258	0.826292	5.44	0.00019811	random	96x192,192x384,384x768
32	0.004286	28.001864	0.831762	6.16	0.00019799	random	96x192,192x384,384x768
33	0.003541	29.135684	0.833946	6.02	0.00019786	random	96x192,192x384,384x768
34	0.004766	27.844000	0.832892	4.52	0.00019773	random	96x192,192x384,384x768
35	0.004721	26.696856	0.824474	5.83	0.00019759	random	96x192,192x384,384x768
36	0.003703	29.027608	0.837340	6.07	0.00019746	random	96x192,192x384,384x768
37	0.004050	29.160846	0.839570	5.99	0.00019731	random	96x192,192x384,384x768
38	0.003931	28.436913	0.839087	5.65	0.00019717	random	96x192,192x384,384x768
39	0.003538	28.139457	0.833250	5.39	0.00019702	random	96x192,192x384,384x768
40	0.004010	25.063476	0.826564	6.24	0.00019686	random	96x192,192x384,384x768
41	0.003607	28.322910	0.840918	4.84	0.00019670	random	96x192,192x384,384x768
42	0.003795	26.940440	0.838082	5.95	0.00019654	random	96x192,192x384,384x768
43	0.003469	27.757960	0.842678	5.85	0.00019638	random	96x192,192x384,384x768
44	0.004005	26.459160	0.837451	5.60	0.00019621	random	96x192,192x384,384x768
45	0.004142	24.400584	0.826611	5.07	0.00019603	random	96x192,192x384,384x768
46	0.003629	28.039667	0.839273	4.92	0.00019586	random	96x192,192x384,384x768
47	0.003702	29.267576	0.843885	6.12	0.00019568	random	96x192,192x384,384x768
48	0.003388	28.682025	0.845758	5.92	0.00019549	random	96x192,192x384,384x768
49	0.003492	29.685054	0.846192	5.84	0.00019530	random	96x192,192x384,384x768
50	0.003534	27.253468	0.842543	5.61	0.00019511	random	96x192,192x384,384x768
51	0.003380	26.136942	0.830610	5.94	0.00019491	random	96x192,192x384,384x768
52	0.003512	29.277494	0.848210	5.87	0.00019472	random	96x192,192x384,384x768
53	0.003707	28.160110	0.845804	5.04	0.00019451	random	96x192,192x384,384x768
54	0.003410	29.176139	0.850576	4.91	0.00019431	random	96x192,192x384,384x768
55	0.003241	27.475412	0.848479	6.00	0.00019409	random	96x192,192x384,384x768
56	0.002940	28.718840	0.850103	7.05	0.00019388	random	96x192,192x384,384x768
57	0.002755	27.717100	0.853059	5.72	0.00019366	random	96x192,192x384,384x768
58	0.002873	29.574685	0.853063	6.11	0.00019344	random	96x192,192x384,384x768
59	0.003044	27.474503	0.844963	5.45	0.00019321	random	96x192,192x384,384x768
60	0.003072	27.022498	0.845353	5.64	0.00019299	random	96x192,192x384,384x768
61	0.003068	27.878365	0.847843	6.22	0.00019275	random	96x192,192x384,384x768
62	0.003650	29.453262	0.853899	6.05	0.00019252	random	96x192,192x384,384x768
63	0.003128	29.144947	0.851233	6.49	0.00019228	random	96x192,192x384,384x768
64	0.002859	28.178146	0.853385	5.77	0.00019203	random	96x192,192x384,384x768
65	0.003072	25.749141	0.851551	5.67	0.00019178	random	96x192,192x384,384x768
66	0.003593	29.821827	0.857782	5.94	0.00019153	random	96x192,192x384,384x768
67	0.002815	29.253051	0.859404	5.40	0.00019128	random	96x192,192x384,384x768
68	0.002669	28.289726	0.850827	5.61	0.00019102	random	96x192,192x384,384x768
69	0.002959	29.299745	0.858082	4.86	0.00019076	random	96x192,192x384,384x768
