epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
0	0.037850	8.966464	0.268638	8.89	0.00020000	random	96x192,192x384,384x768
1	0.016433	9.072352	0.291756	6.04	0.00020000	random	96x192,192x384,384x768
2	0.011080	9.167893	0.311688	4.91	0.00019999	random	96x192,192x384,384x768
3	0.011769	9.259031	0.329852	5.59	0.00019998	random	96x192,192x384,384x768
4	0.010135	9.352830	0.344510	5.85	0.00019997	random	96x192,192x384,384x768
5	0.008715	9.481999	0.359030	5.46	0.00019995	random	96x192,192x384,384x768
6	0.008321	9.639315	0.373363	6.01	0.00019993	random	96x192,192x384,384x768
7	0.007931	9.821327	0.388853	5.69	0.00019990	random	96x192,192x384,384x768
8	0.008049	10.013717	0.404333	5.95	0.00019987	random	96x192,192x384,384x768
9	0.008080	10.216348	0.420561	5.75	0.00019984	random	96x192,192x384,384x768
10	0.007193	10.439040	0.437078	6.04	0.00019980	random	96x192,192x384,384x768
11	0.008355	10.693322	0.455055	5.97	0.00019976	random	96x192,192x384,384x768
12	0.006448	10.975610	0.474035	6.41	0.00019972	random	96x192,192x384,384x768
13	0.006835	11.271502	0.492642	6.31	0.00019967	random	96x192,192x384,384x768
14	0.008433	11.586705	0.511784	5.87	0.00019961	random	96x192,192x384,384x768
15	0.007033	11.908374	0.529854	5.84	0.00019956	random	96x192,192x384,384x768
16	0.006042	12.255956	0.548796	5.60	0.00019950	random	96x192,192x384,384x768
17	0.005907	12.599502	0.565623	5.07	0.00019943	random	96x192,192x384,384x768
18	0.006027	12.959130	0.581913	5.94	0.00019936	random	96x192,192x384,384x768
19	0.006098	13.354110	0.599571	4.80	0.00019929	random	96x192,192x384,384x768
20	0.006962	13.735747	0.615648	5.43	0.00019921	random	96x192,192x384,384x768
21	0.006024	14.122228	0.631065	5.92	0.00019913	random	96x192,192x384,384x768
22	0.006513	14.535670	0.646935	4.62	0.00019905	random	96x192,192x384,384x768
23	0.005953	14.917648	0.660885	5.61	0.00019896	random	96x192,192x384,384x768
24	0.006166	15.307491	0.673604	6.60	0.00019887	random	96x192,192x384,384x768
25	0.005390	15.705249	0.685674	5.29	0.00019877	random	96x192,192x384,384x768
26	0.006426	16.108862	0.697274	5.73	0.00019867	random	96x192,192x384,384x768
27	0.004777	16.499094	0.708399	6.25	0.00019857	random	96x192,192x384,384x768
28	0.004683	16.889806	0.718843	4.94	0.00019846	random	96x192,192x384,384x768
29	0.004899	17.301397	0.729145	5.54	0.00019835	random	96x192,192x384,384x768
30	0.005405	17.701394	0.738439	5.59	0.00019823	random	96x192,192x384,384x768
31	0.005900	18.094374	0.746966	5.60	0.00019811	random	96x192,192x384,384x768
32	0.004894	18.525209	0.755307	6.01	0.00019799	random	96x192,192x384,384x768
33	0.004754	18.983350	0.763177	5.78	0.00019786	random	96x192,192x384,384x768
34	0.004686	19.405698	0.769916	5.79	0.00019773	random	96x192,192x384,384x768
35	0.005508	19.844909	0.776169	5.27	0.00019759	random	96x192,192x384,384x768
36	0.004766	20.273352	0.781926	6.09	0.00019746	random	96x192,192x384,384x768
37	0.004533	20.687814	0.787228	5.20	0.00019731	random	96x192,192x384,384x768
38	0.004342	21.099211	0.791956	4.98	0.00019717	random	96x192,192x384,384x768
39	0.004026	21.489482	0.796001	5.88	0.00019702	random	96x192,192x384,384x768
40	0.004515	21.834354	0.799710	6.37	0.00019686	random	96x192,192x384,384x768
41	0.005107	22.183604	0.803115	6.21	0.00019670	random	96x192,192x384,384x768
42	0.004120	22.537411	0.806223	5.03	0.00019654	random	96x192,192x384,384x768
43	0.003970	22.847298	0.808956	5.84	0.00019638	random	96x192,192x384,384x768
44	0.003854	23.177859	0.811608	5.40	0.00019621	random	96x192,192x384,384x768
45	0.003689	23.488810	0.814165	5.19	0.00019603	random	96x192,192x384,384x768
46	0.004172	23.808679	0.816388	5.04	0.00019586	random	96x192,192x384,384x768
47	0.004110	24.088888	0.818127	5.55	0.00019568	random	96x192,192x384,384x768
48	0.003800	24.349792	0.819908	5.62	0.00019549	random	96x192,192x384,384x768
49	0.004317	24.601913	0.821666	6.23	0.00019530	random	96x192,192x384,384x768
50	0.003520	24.909068	0.823622	5.40	0.00019511	random	96x192,192x384,384x768
51	0.003752	25.166438	0.825224	5.59	0.00019491	random	96x192,192x384,384x768
52	0.003709	25.381454	0.826848	5.18	0.00019472	random	96x192,192x384,384x768
53	0.004257	25.627136	0.828456	5.31	0.00019451	random	96x192,192x384,384x768
54	0.003662	25.818336	0.829719	5.09	0.00019431	random	96x192,192x384,384x768
55	0.004217	26.013678	0.830786	5.43	0.00019409	random	96x192,192x384,384x768
56	0.003370	26.206677	0.831974	5.63	0.00019388	random	96x192,192x384,384x768
57	0.003599	26.380708	0.833328	5.37	0.00019366	random	96x192,192x384,384x768
58	0.003537	26.534977	0.834713	5.44	0.00019344	random	96x192,192x384,384x768
59	0.003895	26.689859	0.835786	6.98	0.00019321	random	96x192,192x384,384x768
60	0.003464	26.827939	0.836869	5.37	0.00019299	random	96x192,192x384,384x768
61	0.003334	27.010996	0.837986	5.67	0.00019275	random	96x192,192x384,384x768
62	0.003892	27.184690	0.838797	5.19	0.00019252	random	96x192,192x384,384x768
63	0.003251	27.352884	0.839791	6.11	0.00019228	random	96x192,192x384,384x768
64	0.003708	27.539003	0.840851	6.00	0.00019203	random	96x192,192x384,384x768
65	0.004496	27.664906	0.841390	5.82	0.00019178	random	96x192,192x384,384x768
66	0.003282	27.794996	0.842177	5.38	0.00019153	random	96x192,192x384,384x768
67	0.003213	27.936846	0.843106	6.40	0.00019128	random	96x192,192x384,384x768
68	0.003896	28.058922	0.843925	5.09	0.00019102	random	96x192,192x384,384x768
69	0.003505	28.185761	0.844822	5.74	0.00019076	random	96x192,192x384,384x768
70	0.003149	28.283303	0.845660	5.81	0.00019049	random	96x192,192x384,384x768
71	0.003391	28.391356	0.846565	6.41	0.00019022	random	96x192,192x384,384x768
72	0.003167	28.459429	0.847401	6.01	0.00018995	random	96x192,192x384,384x768
73	0.003594	28.599178	0.848110	5.43	0.00018968	random	96x192,192x384,384x768
74	0.003281	28.696750	0.848720	6.02	0.00018940	random	96x192,192x384,384x768
75	0.003778	28.761237	0.849306	6.36	0.00018911	random	96x192,192x384,384x768
76	0.003019	28.868591	0.850019	5.24	0.00018883	random	96x192,192x384,384x768
77	0.002854	28.946518	0.850597	6.04	0.00018854	random	96x192,192x384,384x768
78	0.003364	29.020535	0.851103	4.56	0.00018824	random	96x192,192x384,384x768
79	0.003340	29.101331	0.851907	6.06	0.00018794	random	96x192,192x384,384x768
80	0.003121	29.232156	0.852627	5.23	0.00018764	random	96x192,192x384,384x768
81	0.003197	29.340855	0.853368	6.24	0.00018734	random	96x192,192x384,384x768
82	0.003106	29.427705	0.854060	4.69	0.00018703	random	96x192,192x384,384x768
83	0.003234	29.476892	0.854712	5.17	0.00018672	random	96x192,192x384,384x768
84	0.002901	29.450229	0.855226	6.28	0.00018641	random	96x192,192x384,384x768
85	0.003276	29.499845	0.855765	5.70	0.00018609	random	96x192,192x384,384x768
86	0.002971	29.548123	0.856172	5.57	0.00018577	random	96x192,192x384,384x768
87	0.002882	29.617007	0.856619	5.67	0.00018544	random	96x192,192x384,384x768
88	0.002851	29.656306	0.857011	6.54	0.00018512	random	96x192,192x384,384x768
89	0.003192	29.739949	0.857492	6.70	0.00018478	random	96x192,192x384,384x768
90	0.003144	29.810816	0.857900	4.92	0.00018445	random	96x192,192x384,384x768
91	0.002907	29.865696	0.858300	5.31	0.00018411	random	96x192,192x384,384x768
92	0.003132	29.947400	0.858711	4.57	0.00018377	random	96x192,192x384,384x768
93	0.003676	29.899852	0.858921	5.43	0.00018343	random	96x192,192x384,384x768
94	0.002656	29.925841	0.859422	5.83	0.00018308	random	96x192,192x384,384x768
95	0.002806	29.959386	0.859837	6.61	0.00018273	random	96x192,192x384,384x768
96	0.002942	30.012242	0.860350	5.80	0.00018237	random	96x192,192x384,384x768
97	0.002792	30.074257	0.860756	5.60	0.00018202	random	96x192,192x384,384x768
98	0.002750	30.110342	0.861236	5.71	0.00018165	random	96x192,192x384,384x768
99	0.003103	30.152589	0.861636	5.09	0.00018129	random	96x192,192x384,384x768
100	0.002964	30.170390	0.862069	6.78	0.00018092	random	96x192,192x384,384x768
101	0.003153	30.150755	0.862483	5.82	0.00018055	random	96x192,192x384,384x768
102	0.003225	30.124806	0.862772	5.40	0.00018018	random	96x192,192x384,384x768
103	0.002730	30.154228	0.863095	6.02	0.00017980	random	96x192,192x384,384x768
104	0.002674	30.147288	0.863309	6.34	0.00017942	random	96x192,192x384,384x768
105	0.002647	30.123720	0.863422	5.51	0.00017904	random	96x192,192x384,384x768
106	0.002603	30.147934	0.863685	5.51	0.00017865	random	96x192,192x384,384x768
107	0.002705	30.171597	0.864091	5.30	0.00017826	random	96x192,192x384,384x768
108	0.002737	30.183167	0.864361	5.77	0.00017787	random	96x192,192x384,384x768
109	0.002652	30.163617	0.864702	6.08	0.00017748	random	96x192,192x384,384x768
110	0.002837	30.209865	0.864991	5.26	0.00017708	random	96x192,192x384,384x768
111	0.002686	30.187986	0.865199	5.73	0.00017668	random	96x192,192x384,384x768
112	0.002669	30.269430	0.865600	6.49	0.00017627	random	96x192,192x384,384x768
113	0.002509	30.294728	0.865975	5.93	0.00017586	random	96x192,192x384,384x768
114	0.002556	30.349149	0.866326	5.00	0.00017545	random	96x192,192x384,384x768
115	0.002567	30.361379	0.866721	4.52	0.00017504	random	96x192,192x384,384x768
116	0.002504	30.406486	0.867185	5.23	0.00017462	random	96x192,192x384,384x768
117	0.002562	30.452303	0.867583	5.74	0.00017420	random	96x192,192x384,384x768
118	0.002361	30.465968	0.867988	5.31	0.00017378	random	96x192,192x384,384x768
119	0.002700	30.473707	0.868344	6.15	0.00017336	random	96x192,192x384,384x768
120	0.002611	30.514794	0.868866	4.90	0.00017293	random	96x192,192x384,384x768
121	0.002863	30.558440	0.869258	5.76	0.00017250	random	96x192,192x384,384x768
122	0.002691	30.568783	0.869484	5.39	0.00017206	random	96x192,192x384,384x768
123	0.002792	30.601202	0.869776	5.03	0.00017163	random	96x192,192x384,384x768
124	0.002589	30.616641	0.869935	5.99	0.00017119	random	96x192,192x384,384x768
125	0.002248	30.629889	0.870196	5.99	0.00017075	random	96x192,192x384,384x768
126	0.002235	30.622979	0.870535	5.70	0.00017030	random	96x192,192x384,384x768
127	0.002558	30.623538	0.870819	5.10	0.00016985	random	96x192,192x384,384x768
128	0.002686	30.657291	0.871125	4.61	0.00016940	random	96x192,192x384,384x768
129	0.002370	30.680567	0.871388	5.31	0.00016895	random	96x192,192x384,384x768
130	0.002434	30.699288	0.871564	4.89	0.00016849	random	96x192,192x384,384x768
131	0.002460	30.683976	0.871745	5.62	0.00016803	random	96x192,192x384,384x768
132	0.002590	30.672051	0.871946	5.34	0.00016757	random	96x192,192x384,384x768
133	0.002392	30.675303	0.872089	5.52	0.00016711	random	96x192,192x384,384x768
134	0.002404	30.662714	0.872226	5.90	0.00016664	random	96x192,192x384,384x768
135	0.002576	30.643505	0.872425	5.24	0.00016617	random	96x192,192x384,384x768
136	0.002211	30.641160	0.872744	5.87	0.00016570	random	96x192,192x384,384x768
137	0.002496	30.648000	0.873083	6.03	0.00016523	random	96x192,192x384,384x768
138	0.002194	30.666644	0.873382	6.43	0.00016475	random	96x192,192x384,384x768
139	0.002263	30.678467	0.873588	6.20	0.00016427	random	96x192,192x384,384x768
140	0.002586	30.669454	0.873900	6.11	0.00016379	random	96x192,192x384,384x768
141	0.002292	30.664494	0.874193	6.06	0.00016330	random	96x192,192x384,384x768
142	0.002345	30.713615	0.874504	5.63	0.00016282	random	96x192,192x384,384x768
143	0.002386	30.743253	0.874891	6.08	0.00016233	random	96x192,192x384,384x768
144	0.002775	30.763149	0.875110	5.43	0.00016184	random	96x192,192x384,384x768
145	0.002156	30.784894	0.875389	5.42	0.00016134	random	96x192,192x384,384x768
146	0.002338	30.791090	0.875558	6.38	0.00016084	random	96x192,192x384,384x768
147	0.002298	30.789388	0.875910	5.70	0.00016034	random	96x192,192x384,384x768
148	0.002287	30.835902	0.876307	5.37	0.00015984	random	96x192,192x384,384x768
149	0.002292	30.863698	0.876522	5.64	0.00015934	random	96x192,192x384,384x768
150	0.002730	30.840187	0.876614	6.25	0.00015883	random	96x192,192x384,384x768
151	0.002066	30.847801	0.876833	5.53	0.00015832	random	96x192,192x384,384x768
152	0.002102	30.834490	0.877062	5.61	0.00015781	random	96x192,192x384,384x768
153	0.002321	30.834220	0.877324	5.09	0.00015730	random	96x192,192x384,384x768
154	0.002241	30.839107	0.877523	5.75	0.00015678	random	96x192,192x384,384x768
155	0.002341	30.870090	0.877801	6.47	0.00015627	random	96x192,192x384,384x768
156	0.002194	30.857838	0.877965	6.20	0.00015575	random	96x192,192x384,384x768
157	0.002379	30.851844	0.878155	5.14	0.00015522	random	96x192,192x384,384x768
158	0.002104	30.848670	0.878398	5.84	0.00015470	random	96x192,192x384,384x768
159	0.002288	30.876156	0.878626	4.51	0.00015417	random	96x192,192x384,384x768
160	0.002256	30.876341	0.878797	6.09	0.00015365	random	96x192,192x384,384x768
161	0.002463	30.893108	0.878735	5.54	0.00015311	random	96x192,192x384,384x768
162	0.002102	30.907430	0.878858	5.05	0.00015258	random	96x192,192x384,384x768
163	0.002064	30.937627	0.879105	4.88	0.00015205	random	96x192,192x384,384x768
164	0.002167	30.943986	0.879356	5.95	0.00015151	random	96x192,192x384,384x768
165	0.002500	30.928404	0.879592	6.30	0.00015097	random	96x192,192x384,384x768
166	0.002403	30.952084	0.879874	6.23	0.00015043	random	96x192,192x384,384x768
167	0.002093	30.978570	0.880203	5.77	0.00014989	random	96x192,192x384,384x768
168	0.001957	30.998931	0.880397	6.38	0.00014934	random	96x192,192x384,384x768
169	0.002461	31.015551	0.880635	5.27	0.00014880	random	96x192,192x384,384x768
170	0.002625	31.046223	0.880900	5.72	0.00014825	random	96x192,192x384,384x768
171	0.002261	31.073507	0.881103	5.71	0.00014770	random	96x192,192x384,384x768
172	0.002198	31.097878	0.881316	5.79	0.00014714	random	96x192,192x384,384x768
173	0.002249	31.105564	0.881496	6.63	0.00014659	random	96x192,192x384,384x768
174	0.002523	31.086751	0.881680	5.57	0.00014603	random	96x192,192x384,384x768
175	0.002112	31.089055	0.881949	5.20	0.00014548	random	96x192,192x384,384x768
176	0.001889	31.098809	0.882224	6.47	0.00014492	random	96x192,192x384,384x768
177	0.002045	31.108140	0.882344	5.41	0.00014436	random	96x192,192x384,384x768
178	0.002061	31.119681	0.882455	6.17	0.00014379	random	96x192,192x384,384x768
179	0.001989	31.114788	0.882661	6.42	0.00014323	random	96x192,192x384,384x768
180	0.001903	31.119177	0.882886	5.75	0.00014266	random	96x192,192x384,384x768
181	0.001901	31.124008	0.883108	5.41	0.00014209	random	96x192,192x384,384x768
182	0.002085	31.119500	0.883240	5.72	0.00014152	random	96x192,192x384,384x768
183	0.001901	31.128689	0.883466	6.72	0.00014095	random	96x192,192x384,384x768
184	0.002029	31.157190	0.883762	5.20	0.00014038	random	96x192,192x384,384x768
185	0.002182	31.165340	0.883870	6.04	0.00013980	random	96x192,192x384,384x768
186	0.001858	31.188244	0.884050	5.74	0.00013923	random	96x192,192x384,384x768
187	0.001871	31.198288	0.884192	5.14	0.00013865	random	96x192,192x384,384x768
188	0.001942	31.213237	0.884328	6.53	0.00013807	random	96x192,192x384,384x768
189	0.002056	31.228817	0.884526	5.99	0.00013749	random	96x192,192x384,384x768
190	0.001999	31.227390	0.884590	5.97	0.00013691	random	96x192,192x384,384x768
191	0.002076	31.246668	0.884820	6.69	0.00013632	random	96x192,192x384,384x768
192	0.002122	31.239053	0.884957	5.04	0.00013574	random	96x192,192x384,384x768
193	0.001834	31.251653	0.885160	5.86	0.00013515	random	96x192,192x384,384x768
194	0.002024	31.263146	0.885256	5.60	0.00013456	random	96x192,192x384,384x768
195	0.001971	31.290368	0.885384	5.23	0.00013397	random	96x192,192x384,384x768
196	0.001914	31.290709	0.885407	5.46	0.00013338	random	96x192,192x384,384x768
197	0.001846	31.294633	0.885551	6.01	0.00013279	random	96x192,192x384,384x768
198	0.001936	31.301884	0.885699	6.49	0.00013220	random	96x192,192x384,384x768
199	0.001961	31.319224	0.885902	6.00	0.00013160	random	96x192,192x384,384x768
200	0.001828	31.349309	0.886216	7.01	0.00013101	random	96x192,192x384,384x768
201	0.001844	31.354653	0.886378	7.33	0.00013041	random	96x192,192x384,384x768
202	0.002170	31.368147	0.886631	5.19	0.00012981	random	96x192,192x384,384x768
203	0.001836	31.362827	0.886791	5.60	0.00012921	random	96x192,192x384,384x768
204	0.001882	31.368158	0.886951	5.49	0.00012861	random	96x192,192x384,384x768
205	0.001941	31.355731	0.887029	5.75	0.00012801	random	96x192,192x384,384x768
206	0.001893	31.358744	0.887141	5.57	0.00012741	random	96x192,192x384,384x768
207	0.001941	31.367207	0.887324	5.68	0.00012681	random	96x192,192x384,384x768
208	0.001783	31.359110	0.887414	6.19	0.00012620	random	96x192,192x384,384x768
209	0.001973	31.346521	0.887443	6.05	0.00012560	random	96x192,192x384,384x768
210	0.001895	31.349509	0.887593	5.22	0.00012499	random	96x192,192x384,384x768
211	0.001957	31.336512	0.887609	5.55	0.00012438	random	96x192,192x384,384x768
212	0.001940	31.333547	0.887756	5.12	0.00012377	random	96x192,192x384,384x768
213	0.001795	31.364558	0.887986	6.64	0.00012316	random	96x192,192x384,384x768
214	0.001834	31.387918	0.888087	5.15	0.00012255	random	96x192,192x384,384x768
215	0.001719	31.388025	0.888238	6.08	0.00012194	random	96x192,192x384,384x768
216	0.001905	31.392126	0.888409	5.31	0.00012133	random	96x192,192x384,384x768
217	0.001806	31.406616	0.888636	5.98	0.00012072	random	96x192,192x384,384x768
218	0.001874	31.419858	0.888844	5.87	0.00012010	random	96x192,192x384,384x768
219	0.001828	31.415794	0.889025	6.04	0.00011949	random	96x192,192x384,384x768
220	0.001913	31.440222	0.889177	5.41	0.00011887	random	96x192,192x384,384x768
221	0.002043	31.447000	0.889272	5.72	0.00011826	random	96x192,192x384,384x768
222	0.001801	31.450480	0.889404	5.91	0.00011764	random	96x192,192x384,384x768
223	0.001908	31.454847	0.889501	5.47	0.00011702	random	96x192,192x384,384x768
224	0.001936	31.462135	0.889685	5.42	0.00011641	random	96x192,192x384,384x768
225	0.001745	31.456900	0.889861	5.91	0.00011579	random	96x192,192x384,384x768
226	0.001764	31.457841	0.889981	5.36	0.00011517	random	96x192,192x384,384x768
227	0.002134	31.462912	0.890232	5.93	0.00011455	random	96x192,192x384,384x768
228	0.001798	31.476853	0.890368	5.75	0.00011393	random	96x192,192x384,384x768
229	0.001784	31.475174	0.890520	6.30	0.00011331	random	96x192,192x384,384x768
230	0.001760	31.469326	0.890622	6.44	0.00011268	random	96x192,192x384,384x768
231	0.002102	31.458568	0.890729	5.62	0.00011206	random	96x192,192x384,384x768
232	0.001914	31.446844	0.890778	6.36	0.00011144	random	96x192,192x384,384x768
233	0.001960	31.431118	0.890802	5.03	0.00011082	random	96x192,192x384,384x768
234	0.001959	31.412703	0.890763	4.84	0.00011019	random	96x192,192x384,384x768
235	0.001923	31.425295	0.890856	5.19	0.00010957	random	96x192,192x384,384x768
236	0.001832	31.436403	0.890969	6.24	0.00010895	random	96x192,192x384,384x768
237	0.001813	31.442459	0.891067	5.40	0.00010832	random	96x192,192x384,384x768
238	0.001720	31.439603	0.891199	6.05	0.00010770	random	96x192,192x384,384x768
239	0.001629	31.462488	0.891329	5.66	0.00010707	random	96x192,192x384,384x768
240	0.001748	31.458308	0.891445	6.46	0.00010645	random	96x192,192x384,384x768
