epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
0	0.134103	20.679216	0.706215	8.45	0.00020000	random	96x192,192x384,384x768
1	0.083741	22.505761	0.728277	6.64	0.00020000	random	96x192,192x384,384x768
2	0.073252	23.649960	0.732384	6.66	0.00019999	random	96x192,192x384,384x768
3	0.072536	22.786195	0.724749	5.88	0.00019998	random	96x192,192x384,384x768
4	0.065389	22.859699	0.739117	6.73	0.00019997	random	96x192,192x384,384x768
5	0.063675	22.049514	0.739726	5.72	0.00019995	random	96x192,192x384,384x768
6	0.063421	25.438457	0.755572	6.07	0.00019993	random	96x192,192x384,384x768
7	0.058979	24.437856	0.756406	6.27	0.00019990	random	96x192,192x384,384x768
8	0.061162	23.035038	0.759713	5.08	0.00019987	random	96x192,192x384,384x768
9	0.059016	25.828958	0.768791	5.96	0.00019984	random	96x192,192x384,384x768
10	0.059483	25.551505	0.770319	4.75	0.00019980	random	96x192,192x384,384x768
11	0.056349	24.495718	0.770991	5.69	0.00019976	random	96x192,192x384,384x768
12	0.060453	25.258818	0.782723	6.16	0.00019972	random	96x192,192x384,384x768
13	0.061454	26.133204	0.780101	5.35	0.00019967	random	96x192,192x384,384x768
14	0.057041	26.012119	0.780530	5.35	0.00019961	random	96x192,192x384,384x768
15	0.051237	27.355174	0.792747	6.61	0.00019956	random	96x192,192x384,384x768
16	0.055251	25.623216	0.792726	5.48	0.00019950	random	96x192,192x384,384x768
17	0.056730	26.534361	0.798438	5.14	0.00019943	random	96x192,192x384,384x768
18	0.050866	24.284668	0.798340	5.81	0.00019936	random	96x192,192x384,384x768
19	0.051025	25.412765	0.795422	5.16	0.00019929	random	96x192,192x384,384x768
20	0.051554	25.664450	0.808312	5.73	0.00019921	random	96x192,192x384,384x768
21	0.051103	27.180745	0.810045	5.78	0.00019913	random	96x192,192x384,384x768
22	0.050338	27.372828	0.809893	5.20	0.00019905	random	96x192,192x384,384x768
23	0.052518	23.558922	0.796839	5.80	0.00019896	random	96x192,192x384,384x768
24	0.052424	27.135663	0.808879	5.97	0.00019887	random	96x192,192x384,384x768
25	0.046503	23.045503	0.809406	5.84	0.00019877	random	96x192,192x384,384x768
26	0.051684	27.423564	0.818004	6.04	0.00019867	random	96x192,192x384,384x768
27	0.048676	23.320675	0.806939	6.53	0.00019857	random	96x192,192x384,384x768
28	0.051736	27.782448	0.824901	5.05	0.00019846	random	96x192,192x384,384x768
29	0.050189	25.066939	0.810587	5.67	0.00019835	random	96x192,192x384,384x768
30	0.051049	26.747668	0.816111	5.49	0.00019823	random	96x192,192x384,384x768
31	0.046964	27.059883	0.823789	6.04	0.00019811	random	96x192,192x384,384x768
32	0.048035	23.779956	0.815963	6.40	0.00019799	random	96x192,192x384,384x768
33	0.047920	25.827435	0.826974	5.47	0.00019786	random	96x192,192x384,384x768
34	0.044810	27.375872	0.829331	6.14	0.00019773	random	96x192,192x384,384x768
35	0.044932	26.118958	0.830248	5.69	0.00019759	random	96x192,192x384,384x768
36	0.043711	27.225387	0.832882	6.12	0.00019746	random	96x192,192x384,384x768
37	0.043059	28.462335	0.833435	5.60	0.00019731	random	96x192,192x384,384x768
38	0.043457	27.899748	0.835155	6.67	0.00019717	random	96x192,192x384,384x768
39	0.043920	26.192756	0.831585	5.77	0.00019702	random	96x192,192x384,384x768
40	0.043794	27.743168	0.837762	5.45	0.00019686	random	96x192,192x384,384x768
41	0.044194	27.967650	0.837419	6.48	0.00019670	random	96x192,192x384,384x768
42	0.045284	27.945190	0.833103	5.34	0.00019654	random	96x192,192x384,384x768
43	0.041986	27.747968	0.839978	5.15	0.00019638	random	96x192,192x384,384x768
44	0.042920	28.699094	0.840327	5.80	0.00019621	random	96x192,192x384,384x768
45	0.044270	26.693198	0.834743	4.89	0.00019603	random	96x192,192x384,384x768
46	0.044466	26.638913	0.831377	5.20	0.00019586	random	96x192,192x384,384x768
47	0.043745	28.416873	0.841211	6.85	0.00019568	random	96x192,192x384,384x768
48	0.039978	28.778797	0.840774	5.52	0.00019549	random	96x192,192x384,384x768
49	0.042623	25.883867	0.834168	5.36	0.00019530	random	96x192,192x384,384x768
50	0.043932	28.408116	0.842262	6.18	0.00019511	random	96x192,192x384,384x768
51	0.043720	27.095088	0.836461	5.65	0.00019491	random	96x192,192x384,384x768
52	0.042433	29.267616	0.844879	6.05	0.00019472	random	96x192,192x384,384x768
53	0.044972	28.581368	0.843940	6.06	0.00019451	random	96x192,192x384,384x768
54	0.040096	29.181538	0.844991	5.04	0.00019431	random	96x192,192x384,384x768
55	0.039334	28.899427	0.843863	4.74	0.00019409	random	96x192,192x384,384x768
56	0.042306	27.130045	0.842483	6.10	0.00019388	random	96x192,192x384,384x768
57	0.042869	28.744860	0.842982	6.89	0.00019366	random	96x192,192x384,384x768
58	0.042433	28.571382	0.844048	5.33	0.00019344	random	96x192,192x384,384x768
59	0.042844	27.540507	0.844213	7.27	0.00019321	random	96x192,192x384,384x768
60	0.040950	28.964669	0.843828	6.69	0.00019299	random	96x192,192x384,384x768
61	0.045469	28.261746	0.843283	6.29	0.00019275	random	96x192,192x384,384x768
62	0.041110	27.566276	0.844279	6.01	0.00019252	random	96x192,192x384,384x768
63	0.041620	24.069616	0.829700	5.67	0.00019228	random	96x192,192x384,384x768
64	0.044150	28.786136	0.846898	5.19	0.00019203	random	96x192,192x384,384x768
65	0.038808	28.603727	0.846736	6.11	0.00019178	random	96x192,192x384,384x768
66	0.040149	29.230356	0.847152	5.75	0.00019153	random	96x192,192x384,384x768
67	0.040120	29.204661	0.846258	6.12	0.00019128	random	96x192,192x384,384x768
68	0.038667	29.164842	0.850033	5.72	0.00019102	random	96x192,192x384,384x768
69	0.039602	29.479820	0.849840	5.40	0.00019076	random	96x192,192x384,384x768
70	0.037394	27.696422	0.847324	5.61	0.00019049	random	96x192,192x384,384x768
71	0.039552	29.179366	0.850958	5.47	0.00019022	random	96x192,192x384,384x768
72	0.039372	29.478132	0.855503	5.80	0.00018995	random	96x192,192x384,384x768
73	0.040743	27.686491	0.846094	6.02	0.00018968	random	96x192,192x384,384x768
74	0.039963	28.213111	0.849530	6.68	0.00018940	random	96x192,192x384,384x768
75	0.039029	29.111651	0.853562	6.05	0.00018911	random	96x192,192x384,384x768
76	0.040050	28.207508	0.851506	6.32	0.00018883	random	96x192,192x384,384x768
77	0.037398	27.758424	0.845178	6.19	0.00018854	random	96x192,192x384,384x768
78	0.039481	29.170393	0.849753	5.91	0.00018824	random	96x192,192x384,384x768
79	0.038224	28.605255	0.851656	5.77	0.00018794	random	96x192,192x384,384x768
