epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
0	0.033186	19.637036	0.695792	2.47	0.00020000	progressive	96x192
1	0.017254	19.480315	0.703883	0.83	0.00020000	progressive	96x192
2	0.011822	22.584039	0.720151	0.83	0.00019999	progressive	96x192
3	0.011856	20.634826	0.724770	0.83	0.00019998	progressive	96x192
4	0.009849	24.033506	0.744772	0.84	0.00019997	progressive	96x192
5	0.009844	24.161087	0.740518	0.83	0.00019995	progressive	96x192
6	0.007757	23.222761	0.741932	0.84	0.00019993	progressive	96x192
7	0.008744	24.511318	0.750663	0.84	0.00019990	progressive	96x192
8	0.007534	25.391463	0.759170	0.84	0.00019987	progressive	96x192
9	0.007964	23.093604	0.755349	0.84	0.00019984	progressive	96x192
10	0.006843	25.106046	0.767747	0.84	0.00019980	progressive	96x192
11	0.008502	20.691519	0.739466	0.85	0.00019976	progressive	96x192
12	0.006405	26.058332	0.772881	0.83	0.00019972	progressive	96x192
13	0.006093	25.188277	0.774502	0.84	0.00019967	progressive	96x192
14	0.006900	24.673208	0.779415	0.83	0.00019961	progressive	96x192
15	0.006772	26.641253	0.788345	0.83	0.00019956	progressive	96x192
16	0.005829	27.017352	0.790570	0.84	0.00019950	progressive	96x192
17	0.006662	26.593305	0.788653	0.84	0.00019943	progressive	96x192
18	0.006690	20.189391	0.766737	0.84	0.00019936	progressive	96x192
19	0.006745	23.710875	0.794147	0.84	0.00019929	progressive	96x192
20	0.005719	23.531357	0.791152	0.85	0.00019921	progressive	96x192
21	0.006321	22.211807	0.784199	0.84	0.00019913	progressive	96x192
22	0.005827	25.585966	0.807952	0.84	0.00019905	progressive	96x192
23	0.005249	27.367797	0.807565	0.84	0.00019896	progressive	96x192
24	0.004776	25.192429	0.811147	0.84	0.00019887	progressive	96x192
25	0.004978	28.492419	0.825360	0.84	0.00019877	progressive	96x192
26	0.004802	27.067780	0.820048	0.85	0.00019867	progressive	96x192
27	0.004443	28.072805	0.826469	0.84	0.00019857	progressive	96x192
28	0.004826	26.420563	0.819591	0.84	0.00019846	progressive	96x192
29	0.005518	25.729985	0.821969	0.84	0.00019835	progressive	96x192
30	0.004576	28.345853	0.831561	0.84	0.00019823	progressive	96x192
31	0.003945	27.916879	0.832785	0.84	0.00019811	progressive	96x192
32	0.006535	25.992147	0.824165	0.84	0.00019799	progressive	96x192
33	0.004420	28.403809	0.832520	0.85	0.00019786	progressive	96x192
34	0.003908	28.434858	0.834491	0.84	0.00019773	progressive	96x192
35	0.003749	27.558840	0.832931	0.84	0.00019759	progressive	96x192
36	0.004686	28.604843	0.836250	0.85	0.00019746	progressive	96x192
37	0.003772	28.199885	0.837620	0.85	0.00019731	progressive	96x192
38	0.004643	27.068377	0.840851	0.85	0.00019717	progressive	96x192
39	0.004476	27.855563	0.836570	0.83	0.00019702	progressive	96x192
40	0.004749	27.577172	0.837220	0.84	0.00019686	progressive	96x192
41	0.004286	27.233229	0.839571	0.85	0.00019670	progressive	96x192
42	0.004707	25.047386	0.829964	0.84	0.00019654	progressive	96x192
43	0.004277	27.970436	0.838474	0.85	0.00019638	progressive	96x192
44	0.003877	28.599188	0.842478	0.84	0.00019621	progressive	96x192
45	0.003870	27.986653	0.842399	0.84	0.00019603	progressive	96x192
46	0.004300	23.845624	0.837359	0.85	0.00019586	progressive	96x192
47	0.003487	28.439600	0.843954	0.84	0.00019568	progressive	96x192
48	0.003524	29.381727	0.844192	0.84	0.00019549	progressive	96x192
49	0.003568	27.990242	0.844338	0.84	0.00019530	progressive	96x192
50	0.003771	28.961136	0.846107	1.00	0.00019511	progressive	96x192
51	0.003552	29.441628	0.847699	0.85	0.00019491	progressive	96x192
52	0.003674	28.088021	0.845033	0.84	0.00019472	progressive	96x192
53	0.004260	26.971905	0.843967	0.84	0.00019451	progressive	96x192
54	0.003726	25.597811	0.838953	0.84	0.00019431	progressive	96x192
55	0.003873	27.103440	0.843619	0.84	0.00019409	progressive	96x192
56	0.003375	29.429807	0.851092	0.84	0.00019388	progressive	96x192
57	0.003401	27.681215	0.841722	0.84	0.00019366	progressive	96x192
58	0.003397	28.942559	0.847866	0.85	0.00019344	progressive	96x192
59	0.003508	28.607493	0.849891	0.84	0.00019321	progressive	96x192
60	0.004608	25.899151	0.830478	0.84	0.00019299	progressive	96x192
61	0.003554	26.111697	0.846386	0.85	0.00019275	progressive	96x192
62	0.003961	26.383928	0.839147	0.84	0.00019252	progressive	96x192
63	0.003485	28.506187	0.845333	0.85	0.00019228	progressive	96x192
64	0.003110	29.214111	0.849220	0.84	0.00019203	progressive	96x192
65	0.003263	29.185599	0.849590	0.85	0.00019178	progressive	96x192
66	0.003135	27.450438	0.845438	0.84	0.00019153	progressive	96x192
