epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.007262	27.786207	0.806599	137.67	0.00020000	random	192x384,384x768	1
1	0.002122	29.036213	0.840926	108.80	0.00019995	random	192x384,384x768	1
2	0.001607	29.754039	0.862308	108.99	0.00019980	random	192x384,384x768	1
3	0.001456	29.878418	0.853364	109.85	0.00019955	random	192x384,384x768	1
4	0.001346	30.270296	0.870454	106.75	0.00019920	random	192x384,384x768	1
5	0.001184	30.900329	0.873128	108.99	0.00019875	random	192x384,384x768	1
6	0.001226	31.233600	0.871920	106.29	0.00019820	random	192x384,384x768	1
7	0.001178	30.916570	0.872308	111.44	0.00019756	random	192x384,384x768	1
8	0.001055	31.476356	0.876926	110.17	0.00019681	random	192x384,384x768	1
9	0.001046	31.796178	0.879228	105.46	0.00019597	random	192x384,384x768	1
10	0.000996	31.740780	0.879051	108.89	0.00019503	random	192x384,384x768	1
11	0.000977	31.680393	0.882127	113.77	0.00019400	random	192x384,384x768	1
