epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.006844	26.688654	0.812507	83.34	0.00020000	random	96x192,192x384,384x768	1
1	0.002154	28.638603	0.847215	73.32	0.00020000	random	96x192,192x384,384x768	1
2	0.001576	29.551490	0.858886	71.10	0.00020000	random	96x192,192x384,384x768	1
3	0.001466	29.898048	0.863764	72.20	0.00020000	random	96x192,192x384,384x768	1
4	0.001269	30.442619	0.870391	73.72	0.00019999	random	96x192,192x384,384x768	1
5	0.001149	30.735626	0.872632	71.28	0.00019999	random	96x192,192x384,384x768	1
6	0.001073	31.558918	0.875145	71.88	0.00019998	random	96x192,192x384,384x768	1
7	0.001048	31.224862	0.877898	71.36	0.00019998	random	96x192,192x384,384x768	1
8	0.001066	30.607555	0.879267	68.59	0.00019997	random	96x192,192x384,384x768	1
9	0.001031	32.156369	0.881934	67.71	0.00019996	random	96x192,192x384,384x768	1
10	0.000991	31.804549	0.879747	66.50	0.00019995	random	96x192,192x384,384x768	1
