epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.000213	nan	nan	228.16	0.00010000	random	512x512	1
1	0.000210	nan	nan	86.50	0.00010000	random	512x512	1
2	0.000230	nan	nan	86.92	0.00009999	random	512x512	1
3	0.000214	nan	nan	87.11	0.00009998	random	512x512	1
4	0.000208	nan	nan	86.68	0.00009996	random	512x512	1
5	0.000203	nan	nan	86.71	0.00009994	random	512x512	1
6	0.000213	nan	nan	86.69	0.00009991	random	512x512	1
7	0.000216	nan	nan	87.16	0.00009988	random	512x512	1
8	0.000230	nan	nan	86.78	0.00009984	random	512x512	1
9	0.000224	38.191919	0.957533	86.76	0.00009980	random	512x512	1
10	0.000206	nan	nan	86.72	0.00009975	random	512x512	1
11	0.000203	nan	nan	86.69	0.00009970	random	512x512	1
12	0.000209	nan	nan	86.69	0.00009964	random	512x512	1
13	0.000211	nan	nan	86.74	0.00009958	random	512x512	1
14	0.000207	nan	nan	86.75	0.00009951	random	512x512	1
15	0.000205	nan	nan	86.69	0.00009944	random	512x512	1
16	0.000217	nan	nan	86.73	0.00009937	random	512x512	1
17	0.000213	nan	nan	87.73	0.00009928	random	512x512	1
18	0.000217	nan	nan	86.77	0.00009920	random	512x512	1
19	0.000214	38.249592	0.956661	86.80	0.00009911	random	512x512	1
20	0.000203	nan	nan	86.86	0.00009901	random	512x512	1
21	0.000204	nan	nan	86.77	0.00009891	random	512x512	1
22	0.000204	nan	nan	86.80	0.00009880	random	512x512	1
23	0.000206	nan	nan	86.85	0.00009869	random	512x512	1
24	0.000203	nan	nan	87.70	0.00009858	random	512x512	1
25	0.000264	nan	nan	86.90	0.00009846	random	512x512	1
26	0.000241	nan	nan	86.82	0.00009833	random	512x512	1
27	0.000206	nan	nan	86.79	0.00009820	random	512x512	1
28	0.000204	nan	nan	86.79	0.00009807	random	512x512	1
29	0.000198	38.176572	0.957264	86.83	0.00009793	random	512x512	1
30	0.000203	nan	nan	86.86	0.00009778	random	512x512	1
31	0.000202	nan	nan	87.72	0.00009763	random	512x512	1
32	0.000203	nan	nan	86.82	0.00009748	random	512x512	1
33	0.000204	nan	nan	86.82	0.00009732	random	512x512	1
34	0.000199	nan	nan	86.86	0.00009716	random	512x512	1
35	0.000204	nan	nan	86.81	0.00009699	random	512x512	1
36	0.000206	nan	nan	86.87	0.00009682	random	512x512	1
37	0.000205	nan	nan	86.88	0.00009664	random	512x512	1
38	0.000204	nan	nan	87.73	0.00009646	random	512x512	1
39	0.000201	38.217004	0.957518	86.81	0.00009627	random	512x512	1
40	0.000202	nan	nan	86.89	0.00009608	random	512x512	1
41	0.000206	nan	nan	86.87	0.00009589	random	512x512	1
42	0.000214	nan	nan	86.88	0.00009569	random	512x512	1
43	0.000202	nan	nan	86.80	0.00009548	random	512x512	1
44	0.000199	nan	nan	86.86	0.00009528	random	512x512	1
45	0.000204	nan	nan	86.87	0.00009506	random	512x512	1
46	0.000200	nan	nan	86.85	0.00009485	random	512x512	1
47	0.000201	nan	nan	86.76	0.00009462	random	512x512	1
48	0.000203	nan	nan	87.67	0.00009440	random	512x512	1
49	0.000204	38.061119	0.956205	86.85	0.00009417	random	512x512	1
50	0.000200	nan	nan	89.19	0.00009393	random	512x512	1
51	0.000200	nan	nan	86.80	0.00009369	random	512x512	1
52	0.000205	nan	nan	86.84	0.00009345	random	512x512	1
53	0.000214	nan	nan	86.79	0.00009320	random	512x512	1
54	0.000200	nan	nan	86.83	0.00009295	random	512x512	1
55	0.000201	nan	nan	86.77	0.00009269	random	512x512	1
56	0.000197	nan	nan	86.88	0.00009243	random	512x512	1
57	0.000206	nan	nan	86.89	0.00009217	random	512x512	1
58	0.000206	nan	nan	86.86	0.00009190	random	512x512	1
59	0.000202	37.614932	0.957372	87.69	0.00009163	random	512x512	1
60	0.000202	nan	nan	86.85	0.00009135	random	512x512	1
61	0.000201	nan	nan	86.87	0.00009107	random	512x512	1
62	0.000201	nan	nan	86.88	0.00009078	random	512x512	1
63	0.000201	nan	nan	86.85	0.00009050	random	512x512	1
64	0.000204	nan	nan	86.87	0.00009020	random	512x512	1
65	0.000202	nan	nan	86.82	0.00008991	random	512x512	1
66	0.000196	nan	nan	87.68	0.00008961	random	512x512	1
67	0.000196	nan	nan	86.85	0.00008930	random	512x512	1
68	0.000194	nan	nan	86.87	0.00008899	random	512x512	1
69	0.000197	37.734934	0.956727	86.84	0.00008868	random	512x512	1
70	0.000206	nan	nan	86.88	0.00008837	random	512x512	1
71	0.000199	nan	nan	86.89	0.00008805	random	512x512	1
72	0.000200	nan	nan	86.85	0.00008773	random	512x512	1
73	0.000201	nan	nan	86.82	0.00008740	random	512x512	1
74	0.000201	nan	nan	87.69	0.00008707	random	512x512	1
75	0.000200	nan	nan	86.82	0.00008674	random	512x512	1
76	0.000200	nan	nan	86.83	0.00008640	random	512x512	1
77	0.000193	nan	nan	86.83	0.00008606	random	512x512	1
78	0.000198	nan	nan	86.86	0.00008571	random	512x512	1
79	0.000208	38.174112	0.956805	86.86	0.00008537	random	512x512	1
80	0.000196	nan	nan	86.86	0.00008502	random	512x512	1
81	0.000195	nan	nan	87.66	0.00008466	random	512x512	1
82	0.000195	nan	nan	86.88	0.00008431	random	512x512	1
83	0.000196	nan	nan	86.83	0.00008395	random	512x512	1
84	0.000199	nan	nan	86.92	0.00008358	random	512x512	1
85	0.000194	nan	nan	86.82	0.00008322	random	512x512	1
86	0.000199	nan	nan	86.81	0.00008285	random	512x512	1
87	0.000194	nan	nan	86.88	0.00008247	random	512x512	1
88	0.000194	nan	nan	86.81	0.00008210	random	512x512	1
89	0.000196	38.369334	0.957627	86.78	0.00008172	random	512x512	1
90	0.000192	nan	nan	87.66	0.00008134	random	512x512	1
91	0.000195	nan	nan	86.78	0.00008095	random	512x512	1
