epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.041496	19.283009	0.653727	56.27	0.00020000	random	128x128	4
1	0.015599	20.941423	0.658596	2.68	0.00020000	random	128x128	4
2	0.012292	21.192219	0.673441	2.71	0.00020000	random	128x128	4
3	0.007658	23.135457	0.693011	2.68	0.00020000	random	128x128	4
4	0.006251	24.267251	0.703997	2.69	0.00019999	random	128x128	4
5	0.005139	24.825721	0.709650	2.67	0.00019999	random	128x128	4
6	0.004927	24.645020	0.722138	2.68	0.00019998	random	128x128	4
7	0.004684	25.635161	0.729615	2.66	0.00019998	random	128x128	4
8	0.003745	26.103604	0.743369	2.69	0.00019997	random	128x128	4
9	0.003599	26.342943	0.754020	2.70	0.00019996	random	128x128	4
10	0.003458	26.634860	0.759985	2.70	0.00019995	random	128x128	4
11	0.003435	26.888859	0.773634	2.69	0.00019994	random	128x128	4
12	0.003247	26.892029	0.780212	2.72	0.00019993	random	128x128	4
13	0.002830	27.358839	0.795212	2.69	0.00019992	random	128x128	4
14	0.002558	27.466821	0.804294	2.70	0.00019991	random	128x128	4
15	0.002275	28.515642	0.814774	2.68	0.00019989	random	128x128	4
16	0.002265	29.019508	0.817851	2.69	0.00019988	random	128x128	4
17	0.001901	29.166488	0.823389	2.70	0.00019986	random	128x128	4
18	0.001850	29.658565	0.827115	2.69	0.00019985	random	128x128	4
19	0.001608	29.402383	0.828811	2.67	0.00019983	random	128x128	4
20	0.001669	29.818480	0.830165	2.66	0.00019981	random	128x128	4
21	0.001756	29.917599	0.837324	2.63	0.00019979	random	128x128	4
22	0.001536	30.088490	0.839124	2.67	0.00019977	random	128x128	4
23	0.001483	30.336772	0.839827	2.67	0.00019975	random	128x128	4
24	0.001448	30.556321	0.841903	2.65	0.00019973	random	128x128	4
25	0.001433	30.445227	0.844443	2.67	0.00019971	random	128x128	4
26	0.001447	30.570790	0.848954	2.67	0.00019968	random	128x128	4
27	0.001403	30.779616	0.849385	2.67	0.00019966	random	128x128	4
28	0.001392	30.939030	0.851306	2.72	0.00019963	random	128x128	4
